,Candidato,Número,Partido,Gênero,Naturalidade,Cor,Estado civil,Grau de instrução,Data de nascimento,Coalisão,Image URL,Idade,Total de recursos recebidos (R$),Fundo partidário,Fundo especial,Outros recursos,Recursos financeiros,Doação de pessoas físicas,Recursos estimáveis,Doação de partidos,Recursos próprios,Limite de gastos (R$),Total de despesas contratadas (R$),Total de despesas pagas (R$),Total de Bens Declarados,Vezes em que concorreu
0,A ALEX PROFESSOR DE DIREITA,22000,PL,Masculino,FLORIANÓPOLIS / SC,branca,Divorciado,Superior completo,1983-06-17,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149667.jpeg,41.0,104000.0,0.0,98.08,1.92,100.0,0.0,0.0,0.0,1.92,253058.41,39943.0,20443.0,1569825.4,1
1,ADELIO JOSE DA COSTA,70777,AVANTE,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Ensino Médio completo,1953-12-26,AVANTE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002348466.jpeg,70.0,586.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,253058.41,586.0,586.0,100000.0,0
2,ADI MENSAGEIRO SERTANEJO,20456,PODE,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Ensino Fundamental incompleto,1950-11-16,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029040.jpeg,73.0,3000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,0
3,ADRIANA FERNANDES,22422,PL,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1966-10-22,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149658.jpeg,57.0,55950.0,0.0,89.37,10.63,100.0,0.36,0.0,0.0,8.76,253058.41,5374.03,5374.03,336000.0,0
4,ADRIANINHO,10111,REPUBLICANOS,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Ensino Médio completo,1974-09-30,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947373.jpeg,50.0,29657.09,0.0,28.1,71.9,100.0,54.12,0.0,0.0,2.7,253058.41,25005.33,25005.33,336573.0,3
5,ADRIANO DA PESCA,44244,UNIÃO,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1973-01-23,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149005.jpeg,51.0,50878.5,0.0,76.89,23.11,100.0,3.93,0.0,0.0,19.18,253058.41,29392.72,28196.36,590800.0,2
6,AFRÂNIO BOPPRÉ,50100,PSOL,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1960-10-30,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293303.jpeg,63.0,154145.21,0.0,91.59,8.41,100.0,0.68,0.0,0.0,0.0,253058.41,70546.59,70546.59,1516534.82,9
7,ALÉSIO O BRUXO DAS PLANTAS,13111,PT,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1950-03-26,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149311.jpeg,74.0,41719.2,0.0,19.29,80.71,92.81,76.22,7.19,7.19,0.0,253058.41,29266.75,29266.75,417457.72,0
8,ALESSANDRA LIMA,55620,PSD,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Ensino Fundamental incompleto,1984-07-16,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988750.jpeg,40.0,10000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,0
9,ALEX SANTANA,45888,PSDB,Masculino,FLORIANÓPOLIS / SC,branca,Divorciado,Ensino Médio completo,1976-11-15,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292445.jpeg,47.0,25000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,12506.0,6500.0,157900.0,1
10,ALEXANDRE FAUSTINO GO BECK,20333,PODE,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Ensino Médio completo,1972-01-26,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029042.jpeg,52.0,6000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,11000.0,0
11,ALEXANDRE LEITE,45515,PSDB,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1968-04-03,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002364185.jpeg,56.0,10000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,5
12,ALICE GONÇALVES,12333,PDT,Feminino,FLORIANÓPOLIS / SC,parda,Solteira,Superior completo,1997-03-10,PDT,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292897.jpeg,27.0,6000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,0
13,ALINE GUIMARÃES (KELLENZINHA),20069,PODE,Feminino,PORTO ALEGRE / RS,branca,Casada,Ensino Médio completo,1982-09-11,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029025.jpeg,42.0,20141.0,0.0,99.3,0.7,100.0,0.7,0.0,0.0,0.0,253058.41,10800.0,5000.0,10800.0,0
14,ALISON FORTUNATO,30007,NOVO,Feminino,IMARUÍ / SC,branca,Solteira,Superior completo,1988-02-07,NOVO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001911801.jpeg,36.0,14433.05,0.0,53.7,46.3,85.45,0.0,14.55,14.55,0.0,253058.41,11831.68,11831.68,0.0,0
15,AMANDA WENCESLAU,80123,UP,Feminino,TIJUCAS / SC,preta,Solteira,Ensino Médio completo,2001-11-04,UP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029092.jpeg,22.0,11749.5,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,3013.5,0.0,0.0,0
16,ANALTO ROMALINO (PEREBA),12015,PDT,Feminino,FLORIANÓPOLIS / SC,branca,Viúva,Ensino Médio completo,1960-12-07,PDT,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292901.jpeg,63.0,,,,,,,,,,,,,57000.0,7
17,ANDHER VILIAN,13007,PT,Masculino,FLORIANÓPOLIS / SC,preta,Divorciado,Ensino Médio completo,1985-11-05,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149310.jpeg,38.0,15393.14,0.0,97.04,2.96,100.0,2.96,0.0,0.0,0.0,253058.41,10980.6,10980.6,0.0,0
18,ANDINHO,40007,PSB,Feminino,FLORIANÓPOLIS / SC,preta,Casada,Ensino Médio incompleto,1977-10-05,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002291716.jpeg,47.0,1000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,3
19,ANDRÉ XAVIER,12056,PDT,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1988-06-14,PDT,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292902.jpeg,36.0,10914.0,0.0,86.42,13.58,95.42,4.58,4.58,4.58,0.0,253058.41,3741.61,3351.61,0.0,0
20,ANDREA MONTEIRO,70000,AVANTE,Feminino,RIO DE JANEIRO / RJ,branca,Casada,Superior completo,1967-10-25,AVANTE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002348468.jpeg,56.0,,,,,,,,,,,,,0.0,1
21,ANDRÉA VERGANI,55048,PSD,Feminino,CAXIAS DO SUL / RS,branca,Solteira,Superior completo,1985-06-20,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988747.jpeg,39.0,21650.0,0.0,46.19,53.81,100.0,53.81,0.0,0.0,0.0,253058.41,5841.68,5841.68,892000.0,1
22,ANNE RAMALHO,50050,PSOL,Feminino,PRESIDENTE VENCESLAU / SP,preta,Solteira,Superior incompleto,1994-06-13,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293298.jpeg,30.0,39109.04,0.0,99.22,0.78,100.0,0.77,0.0,0.0,0.02,253058.41,1293.8,1164.8,0.0,0
23,ANTÔNIO MARCOS,10369,REPUBLICANOS,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1969-12-09,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947374.jpeg,54.0,8423.0,0.0,98.93,1.07,100.0,0.0,0.0,0.0,1.07,253058.41,8325.6,8325.6,0.0,0
24,ARLENE RAMON,44684,UNIÃO,Feminino,SÃO PAULO / SP,branca,Casada,Ensino Médio completo,1973-11-25,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002148999.jpeg,50.0,9780.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,4
25,AUREO MORAES,40400,PSB,Feminino,BRUSQUE / SC,branca,Casada,Superior completo,1966-02-20,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002291712.jpeg,58.0,7600.0,13.16,0.0,86.84,100.0,86.84,0.0,0.0,0.0,,,,638521.23,0
26,BÁ DO ESTREITO,10101,REPUBLICANOS,Feminino,LAURO MÜLLER / SC,branca,Divorciada,Ensino Fundamental completo,1956-12-21,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947371.jpeg,67.0,8333.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,7610.0,7610.0,0.0,1
27,BALDISSERA,45333,PSDB,Feminino,FRAIBURGO / SC,branca,Casada,Superior completo,1961-12-21,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292438.jpeg,62.0,10000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,385302.20999999996,0
28,BERICÓ,22123,PL,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Ensino Médio completo,1982-08-31,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149661.jpeg,42.0,75000.0,0.0,66.67,33.33,100.0,33.33,0.0,0.0,0.0,253058.41,54580.0,54580.0,179252.52,1
29,BETO VALLE PEREIRA,11321,PP,Feminino,UNIÃO DA VITÓRIA / PR,branca,Divorciada,Superior completo,1962-03-09,PP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002151399.jpeg,62.0,38022.72,0.0,100.0,0.0,18.41,0.0,81.59,81.59,0.0,,,,0.0,0
30,BEZERRA,15123,MDB,Masculino,FLORIANÓPOLIS / SC,preta,Casado,Superior incompleto,1978-03-24,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150357.jpeg,46.0,12340.0,0.0,81.04,18.96,100.0,18.96,0.0,0.0,0.0,253058.41,2040.0,1040.0,139677.16,2
